6219bb3a-3d9d-45d7-8440-ba06da1ed74a	3cc433bc-750f-4e20-88ed-73d5f9e52c6f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-AB36	TCGA-DX-AB36-01A	Primary Tumor
3bc8f4da-ad47-41a7-8d81-607a36f1e9f4	91b12476-6108-450e-af54-d182b5b554dd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-Z4-AAPG	TCGA-Z4-AAPG-01A	Primary Tumor
ec9d44e0-1357-47fc-8312-f90b347f2cdf	903bad96-e2c3-4339-832f-87bb2e4c5802.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A2IZ	TCGA-DX-A2IZ-01A	Primary Tumor
00b84393-53e7-4a0a-8fa1-3a641bd0c8ac	a51683df-e7cb-4c81-b0ff-d7d8ae08e113.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-X6-A8C6	TCGA-X6-A8C6-01A	Primary Tumor
66d6d209-4fc3-4f94-bee4-ec4844c39b9a	8acee882-797c-4d8d-908a-b9117890e4d6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-HS-A5N8	TCGA-HS-A5N8-01A	Primary Tumor
e1ccd06e-2410-4d39-8964-adea7e92467a	178d64ef-e441-4280-9cff-ecc0987f2603.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-HB-A2OT	TCGA-HB-A2OT-01A	Primary Tumor
2207109b-2b58-4800-becb-0c178c976ef4	9bfa4486-3b37-4ef8-9b25-61158658e6ca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A1KX	TCGA-DX-A1KX-01A	Primary Tumor
d7072d7d-db18-495f-8c7a-21200256ab83	b7200fba-1d9e-4337-8105-dddb9074e29b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-WK-A8XQ	TCGA-WK-A8XQ-01A	Primary Tumor
d40c629f-0c29-4f51-9258-a16a4c12afad	6a4d63d9-8a15-473e-80f4-d11242530d96.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A6BF	TCGA-DX-A6BF-01A	Primary Tumor
2f4f360d-d36f-4744-8e74-bbfe8bb47e04	4a04654e-f230-478f-9523-c8ba4d7b6091.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A2J4	TCGA-DX-A2J4-01A	Primary Tumor
2967e155-2aac-4975-a799-263b760d44e9	a7bec419-7c8d-495d-9cb3-f810ff08c8b4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A6YT	TCGA-DX-A6YT-01A	Primary Tumor
2a7af127-9201-4850-b8a6-0c0a41d22da4	1db3c803-8b6b-4ddf-82ef-96d538495293.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-WK-A8XO	TCGA-WK-A8XO-01A	Primary Tumor
10644317-2aaf-467f-8959-e177921dafc2	7a68d421-1310-4b1d-b5be-71751cd44f9e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A48O	TCGA-DX-A48O-01A	Primary Tumor
71443e5c-6ba7-44cd-9c7b-610abb34a8fd	b7a5006c-90bd-4dff-b8df-338ff599862f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A23T	TCGA-DX-A23T-01A	Primary Tumor
df576078-a659-4121-b85a-94acabc2c0f9	d159e5c3-7517-4510-a948-054f8b4a88ef.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-AB35	TCGA-DX-AB35-01A	Primary Tumor
6adf8503-127f-4171-81c5-25f220ed22f3	6008ff0b-cb5b-4b7d-a438-dfa992f224a8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-X2-A95T	TCGA-X2-A95T-01A	Primary Tumor
2b4cfe98-0901-4455-9a48-ce8519a97095	f5a5de6f-52df-419d-9ea3-27383a6b53a0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-3B-A9HX	TCGA-3B-A9HX-01A	Primary Tumor
ef5ace19-c76b-4b0b-bbb1-825c13f93e2d	f7d7d34c-4694-4662-b7fd-be887bdc9697.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-HS-A5NA	TCGA-HS-A5NA-01A	Primary Tumor
8e7e6e0a-2bbb-47ec-8493-b839d5f0243d	b7ac9da3-7fbe-4618-a852-8d614cabd9aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-AB2J	TCGA-DX-AB2J-01A	Primary Tumor
a04477b3-10c5-4d12-a9e2-b8e3f7acccbd	7383c625-5ca5-487a-a4df-cf025ee14d32.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-KD-A5QU	TCGA-KD-A5QU-01A	Primary Tumor
1c286281-e06f-4f5d-84ba-3c7180a0e3ba	ab2a645d-322d-46e8-9872-1ecf9ee72891.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-WK-A8XZ	TCGA-WK-A8XZ-01A	Primary Tumor
0dfd1a01-e2c4-4e01-9b1f-72c373af082a	a7eafd67-8ecd-4b4c-92c5-e308554d7d88.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A3UE	TCGA-DX-A3UE-01A	Primary Tumor
87d946eb-845c-438e-ae46-dfc43a078c55	38a95d74-a928-40b3-9856-9bef8c77b7f7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-AB2V	TCGA-DX-AB2V-01A	Primary Tumor
ef8f3d8c-a08b-40f5-96f5-ef1ee8d8be90	c3a3d352-1555-4ca3-bbb9-282830219d17.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A8BV	TCGA-DX-A8BV-01A	Primary Tumor
f378bb53-d378-4be4-bff1-5980372c5738	7f4d714a-728a-4c11-b77c-d524df0281fe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A6B7	TCGA-DX-A6B7-01A	Primary Tumor
67fcf0d7-e1eb-4f8a-8dd8-d2e05a6b2892	959c6fc3-d893-4e2f-9867-2e58e63da4fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-DX-A7EQ	TCGA-DX-A7EQ-01A	Primary Tumor
